enrollment,student_status,q_option,total,correct,wrong,skip,percentage,submitted_time,result_status
MCA20263001,enrolled,q1,2,1,1,0,50.0,2026-09-19T14:10:32.240960+00:00,pass
MCA20263002,enrolled,q1,2,1,1,0,50.0,2026-09-19T14:18:31.974813+00:00,pass
MCA20263003,enrolled,q1,2,2,0,0,100.0,2026-09-19T14:54:41.654311+00:00,pass
MCA20263004,not_enrolled,q1,,,,,,,
MCA20263005,not_enrolled,q1,,,,,,,
MCA20263006,not_enrolled,q1,,,,,,,
MCA20263007,not_enrolled,q1,,,,,,,
MCA20263008,not_enrolled,q1,,,,,,,
MCA20263009,not_enrolled,q1,,,,,,,
MCA20263010,not_enrolled,q1,,,,,,,
