enrollment,student_status,q_option,total,correct,wrong,skip,percentage,submitted_time,result_status
MCA20263001,enrolled,"3,1",2,1,1,0,50.0,2026-09-21T14:27:58.559384+00:00,pass
MCA20263002,enrolled,"4,1",2,2,0,0,100.0,2026-09-21T15:16:20.921052+00:00,pass
MCA20263003,not_enrolled,"q1,q2",,,,,,,
MCA20263004,not_enrolled,"q1,q2",,,,,,,
MCA20263005,not_enrolled,"q1,q2",,,,,,,
MCA20263006,not_enrolled,"q1,q2",,,,,,,
MCA20263007,not_enrolled,"q1,q2",,,,,,,
MCA20263008,enrolled,"2,2",2,1,1,0,50.0,2026-09-21T14:01:40.161170+00:00,pass
MCA20263009,not_enrolled,"q1,q2",,,,,,,
MCA20263010,not_enrolled,"q1,q2",,,,,,,
