enrollment,student_status,q_option,total,correct,wrong,skip,percentage,submitted_time,result_status
MCA20263001,not_enrolled,"q1,q2",,,,,,,
MCA20263002,not_enrolled,"q1,q2",,,,,,,
MCA20263003,not_enrolled,"q1,q2",,,,,,,
MCA20263004,not_enrolled,"q1,q2",,,,,,,
MCA20263005,not_enrolled,"q1,q2",,,,,,,
MCA20263006,not_enrolled,"q1,q2",,,,,,,
MCA20263007,not_enrolled,"q1,q2",,,,,,,
MCA20263008,not_enrolled,"q1,q2",,,,,,,
MCA20263009,not_enrolled,"q1,q2",,,,,,,
MCA20263010,not_enrolled,"q1,q2",,,,,,,
